obs_date,obs_lat,obs_lon,obs_source,chl_type,in_situ_chl,NASA_chlor_a,TPCA_chl,chl_ci,chl_ocx,CI,MBR,max_blue_rrs,rrs443,rrs490,rrs510,rrs560,rrs665,MEI,day_radius,pixel_radius,sat_start_date,sat_end_date,sat_start_lat,sat_end_lat,sat_start_lon,sat_end_lon,validation_set
2002-05-02,-5.000,220.000,"Valente et al., 2016",Fluorescence,0.1377,0.1294,0.1294,0.1599,0.1103,-0.00159,4.78737,0.00598,0.00598,0.00494,0.00292,0.00125,0.00003,0.886,2,1,2002-04-30,2002-05-04,-5.125,-4.958,-5.125,-4.958,0
2002-05-02,-4.000,220.000,"Valente et al., 2016",Fluorescence,0.0979,0.1188,0.1188,0.1314,0.1018,-0.00196,5.01531,0.00702,0.00702,0.00554,0.00332,0.00140,0.00008,0.886,2,1,2002-04-30,2002-05-04,-4.125,-3.958,-4.125,-3.958,1
2002-05-03,-2.830,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1500,0.1379,0.1379,0.1749,0.1187,-0.00143,4.58466,0.00545,0.00545,0.00486,0.00292,0.00119,0.00007,0.886,2,1,2002-05-01,2002-05-05,-2.875,-2.708,-2.875,-2.708,0
2002-05-03,-2.000,220.000,"Valente et al., 2016",Fluorescence,0.1835,0.1578,0.1578,0.1738,0.1355,-0.00144,4.22446,0.00583,0.00583,0.00514,0.00314,0.00138,0.00011,0.886,2,1,2002-05-01,2002-05-05,-2.125,-1.958,-2.125,-1.958,0
2002-05-03,-3.000,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1500,0.1403,0.1403,0.1718,0.1208,-0.00146,4.53639,0.00561,0.00561,0.00492,0.00296,0.00124,0.00008,0.886,2,1,2002-05-01,2002-05-05,-3.125,-2.958,-3.125,-2.958,1
2002-05-05,1.830,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1900,0.1509,0.1509,0.1788,0.1298,-0.00138,4.33929,0.00567,0.00567,0.00477,0.00296,0.00131,0.00002,0.886,2,1,2002-05-03,2002-05-07,1.708,1.875,1.708,1.875,0
2002-05-05,1.000,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.2900,0.1936,0.1936,0.2170,0.1678,-0.00102,3.67676,0.00499,0.00499,0.00448,0.00289,0.00136,0.00003,0.886,2,1,2002-05-03,2002-05-07,0.875,1.042,0.875,1.042,0
2002-05-05,0.000,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.2900,0.2104,0.2104,0.2240,0.1831,-0.00096,3.46813,0.00508,0.00508,0.00453,0.00302,0.00146,0.00004,0.886,2,1,2002-05-03,2002-05-07,-0.125,0.042,-0.125,0.042,1
2002-05-05,0.830,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.3000,0.1996,0.1996,0.2092,0.1732,-0.00109,3.59985,0.00539,0.00539,0.00473,0.00309,0.00150,0.00007,0.886,2,1,2002-05-03,2002-05-07,0.708,0.875,0.708,0.875,1
2002-05-06,3.000,220.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1800,0.1543,0.1543,0.1738,0.1330,-0.00144,4.27446,0.00597,0.00597,0.00497,0.00313,0.00140,0.00002,0.886,2,1,2002-05-04,2002-05-08,2.875,3.042,2.875,3.042,0
