obs_date,obs_lat,obs_lon,obs_source,chl_type,in_situ_chl,NASA_chlor_a,TPCA_chl,chl_ci,chl_ocx,CI,MBR,max_blue_rrs,rrs443,rrs488,NaN,rrs547,rrs667,MEI,day_radius,pixel_radius,sat_start_date,sat_end_date,sat_start_lat,sat_end_lat,sat_start_lon,sat_end_lon,validation_set
2002-07-06,7.000,165.000,"Valente et al., 2016",Fluorescence,0.0487,0.0278,0.0278,0.0169,0.0501,-0.00583,7.07489,0.01455,0.01455,0.00884,NaN,0.00206,0.00019,0.712,2,1,2002-07-04,2002-07-08,6.958,7.125,6.958,7.125,1
2002-07-07,2.830,165.000,"Valente et al., 2016",Fluorescence,0.0373,0.0533,0.0532,0.0393,0.0638,-0.00424,6.36622,0.01099,0.01099,0.00699,NaN,0.00173,0.00017,0.712,2,1,2002-07-05,2002-07-09,2.708,2.875,2.708,2.875,1
2002-07-07,6.000,165.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0465,0.0474,0.0329,0.0641,-0.00457,6.35376,0.01182,0.01182,0.00735,NaN,0.00186,0.00022,0.712,2,1,2002-07-05,2002-07-09,5.958,6.125,5.958,6.125,0
2002-07-07,5.000,165.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0446,0.0416,0.0312,0.0436,-0.00468,7.48240,0.01148,0.01148,0.00698,NaN,0.00153,0.00013,0.712,2,1,2002-07-05,2002-07-09,4.958,5.125,4.958,5.125,0
2002-07-08,1.000,165.000,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0700,0.0763,0.0798,0.0615,0.0935,-0.00340,5.25890,0.00957,0.00957,0.00663,NaN,0.00182,0.00019,0.712,2,1,2002-07-06,2002-07-10,0.958,1.125,0.958,1.125,0
2002-07-08,0.000,165.000,"Valente et al., 2016",Fluorescence,0.1150,0.1014,0.1164,0.0869,0.1381,-0.00274,4.17440,0.00889,0.00889,0.00662,NaN,0.00213,0.00024,0.712,2,1,2002-07-06,2002-07-10,-0.042,0.125,-0.042,0.125,1
2002-07-08,1.830,165.000,"Valente et al., 2016",Fluorescence,0.0433,0.0709,0.0763,0.0560,0.0953,-0.00357,5.20269,0.01006,0.01006,0.00687,NaN,0.00193,0.00025,0.712,2,1,2002-07-06,2002-07-10,1.708,1.875,1.708,1.875,0
2002-07-08,2.000,165.000,"Valente et al., 2016",Fluorescence,0.0526,0.0609,0.0659,0.0460,0.0891,-0.00394,5.39556,0.01094,0.01094,0.00729,NaN,0.00203,0.00024,0.712,2,1,2002-07-06,2002-07-10,1.958,2.125,1.958,2.125,0
2002-07-08,0.833,165.000,"Valente et al., 2016",Fluorescence,0.1105,0.0807,0.0857,0.0659,0.1006,-0.00327,5.04719,0.00939,0.00939,0.00663,NaN,0.00186,0.00021,0.712,2,1,2002-07-06,2002-07-10,0.708,0.875,0.708,0.875,1
2002-07-09,-0.830,165.000,"Valente et al., 2016",Fluorescence,0.0833,0.0821,0.0882,0.0675,0.1041,-0.00322,4.95041,0.00935,0.00935,0.00658,NaN,0.00189,0.00022,0.712,2,1,2002-07-07,2002-07-11,-0.875,-0.708,-0.875,-0.708,1
