obs_date,obs_lat,obs_lon,obs_source,chl_type,in_situ_chl,NASA_chlor_a,TPCA_chl,chl_ci,chl_ocx,CI,MBR,max_blue_rrs,rrs443,rrs490,rrs510,rrs555,rrs670,MEI,day_radius,pixel_radius,sat_start_date,sat_end_date,sat_start_lat,sat_end_lat,sat_start_lon,sat_end_lon,validation_set
1997-10-04,9.950,234.590,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1000,0.1365,0.1371,0.1344,0.1149,-0.00192,4.67460,0.00640,0.00640,0.00466,0.00286,0.00137,0.00010,2.361,2,1,1997-10-02,1997-10-06,9.875,10.042,9.875,10.042,1
1997-10-05,5.990,235.070,"Valente et al., 2016",Fluorescence,0.0815,0.0653,0.0635,0.0541,0.0443,-0.00364,7.43626,0.00967,0.00967,0.00612,0.00306,0.00130,0.00008,2.361,2,1,1997-10-03,1997-10-07,5.875,6.042,5.875,6.042,1
1997-10-06,5.170,235.170,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0578,0.0621,0.0469,0.0811,-0.00390,5.66915,0.01126,0.01126,0.00731,0.00416,0.00199,0.00038,2.361,2,1,1997-10-04,1997-10-08,5.125,5.292,5.125,5.292,0
1997-10-07,3.997,235.072,"Valente et al., 2016",Fluorescence,0.0450,0.0614,0.0659,0.0506,0.0833,-0.00376,5.59100,0.01094,0.01094,0.00699,0.00401,0.00196,0.00036,2.361,2,1,1997-10-05,1997-10-09,3.875,4.042,3.875,4.042,1
1997-10-07,1.970,234.960,"Valente et al., 2016",Fluorescence,0.0610,0.0951,0.0957,0.0856,0.0834,-0.00277,5.58613,0.00822,0.00822,0.00574,0.00331,0.00147,0.00017,2.361,2,1,1997-10-05,1997-10-09,1.875,2.042,1.875,2.042,1
1997-10-07,3.000,235.020,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0500,0.0716,0.0725,0.0598,0.0710,-0.00345,6.05706,0.00985,0.00985,0.00641,0.00357,0.00163,0.00018,2.361,2,1,1997-10-05,1997-10-09,2.958,3.125,2.958,3.125,0
1997-10-08,1.000,235.280,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0800,0.1209,0.1298,0.1123,0.1420,-0.00226,4.10097,0.00786,0.00786,0.00590,0.00372,0.00192,0.00040,2.361,2,1,1997-10-06,1997-10-10,0.958,1.125,0.958,1.125,0
1997-10-08,-0.220,235.650,"Valente et al., 2016",Fluorescence,0.0900,0.1751,0.1831,0.1716,0.1828,-0.00146,3.47225,0.00611,0.00611,0.00497,0.00338,0.00176,0.00025,2.361,2,1,1997-10-06,1997-10-10,-0.292,-0.125,-0.292,-0.125,1
1997-10-09,-1.001,235.414,"Valente et al., 2016",Fluorescence,0.1050,0.1445,0.1488,0.1428,0.1353,-0.00181,4.22852,0.00646,0.00646,0.00504,0.00313,0.00153,0.00012,2.361,2,1,1997-10-07,1997-10-11,-1.125,-0.958,-1.125,-0.958,1
1997-10-09,-2.020,235.100,"Valente et al., 2016",Fluorescence,0.1060,0.1362,0.1485,0.1313,0.1587,-0.00197,3.81555,0.00747,0.00747,0.00571,0.00378,0.00196,0.00028,2.361,2,1,1997-10-07,1997-10-11,-2.125,-1.958,-2.125,-1.958,1
1997-10-10,-3.000,235.310,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1000,0.1479,0.1616,0.1458,0.1686,-0.00177,3.66537,0.00683,0.00683,0.00545,0.00356,0.00186,0.00035,2.361,2,1,1997-10-08,1997-10-12,-3.042,-2.875,-3.042,-2.875,1
1997-10-10,10.000,163.983,"WOD: Boyer et al., 2018",Fluorescence,0.0750,0.0628,0.0626,0.0516,0.0530,-0.00373,6.90973,0.01017,0.01017,0.00635,0.00334,0.00147,0.00009,2.361,2,1,1997-10-08,1997-10-12,9.958,10.125,9.958,10.125,1
1997-10-10,-3.990,235.180,MBARI: Strutton & Chavez. 2008,Fluorescence,0.1100,0.1322,0.1389,0.1266,0.1378,-0.00204,4.18061,0.00715,0.00715,0.00548,0.00344,0.00171,0.00025,2.361,2,1,1997-10-08,1997-10-12,-4.042,-3.875,-4.042,-3.875,0
1997-10-11,-5.000,235.060,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0700,0.1214,0.1273,0.1144,0.1265,-0.00223,4.40967,0.00766,0.00766,0.00563,0.00340,0.00174,0.00016,2.361,2,1,1997-10-09,1997-10-13,-5.042,-4.875,-5.042,-4.875,0
1997-10-11,-5.990,235.040,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0900,0.1117,0.1253,0.1036,0.1505,-0.00241,3.94928,0.00856,0.00856,0.00641,0.00424,0.00217,0.00049,2.361,2,1,1997-10-09,1997-10-13,-6.042,-5.875,-6.042,-5.875,1
1997-10-11,-6.990,235.020,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0900,0.1053,0.1188,0.0959,0.1501,-0.00256,3.95676,0.00903,0.00903,0.00667,0.00437,0.00228,0.00054,2.361,2,1,1997-10-09,1997-10-13,-7.042,-6.875,-7.042,-6.875,0
1997-10-11,5.167,165.017,"WOD: Boyer et al., 2018",Fluorescence,0.0900,0.0835,0.0797,0.0698,0.0646,-0.00316,6.33121,0.00897,0.00897,0.00583,0.00310,0.00142,0.00006,2.361,2,1,1997-10-09,1997-10-13,5.125,5.292,5.125,5.292,1
1997-10-23,3.000,217.870,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0600,0.0551,0.0542,0.0444,0.0381,-0.00401,7.87306,0.01041,0.01041,0.00633,0.00326,0.00132,0.00012,2.361,2,1,1997-10-21,1997-10-25,2.958,3.125,2.958,3.125,1
1997-10-24,5.010,220.030,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0548,0.0565,0.0439,0.0605,-0.00403,6.52468,0.01107,0.01107,0.00692,0.00382,0.00170,0.00024,2.361,2,1,1997-10-22,1997-10-26,4.958,5.125,4.958,5.125,0
1997-11-10,8.019,204.994,"Valente et al., 2016",Fluorescence,0.0480,0.0795,0.0781,0.0687,0.0608,-0.00319,6.51019,0.00887,0.00887,0.00577,0.00316,0.00136,0.00012,2.551,2,1,1997-11-08,1997-11-12,7.958,8.125,7.958,8.125,0
1997-11-11,7.000,205.040,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0815,0.0792,0.0709,0.0569,-0.00313,6.70596,0.00862,0.00862,0.00568,0.00307,0.00129,0.00009,2.551,2,1,1997-11-09,1997-11-13,6.958,7.125,6.958,7.125,1
1997-11-11,5.025,205.091,"Valente et al., 2016",Fluorescence,0.0560,0.0806,0.0812,0.0692,0.0754,-0.00317,5.88153,0.00907,0.00907,0.00617,0.00358,0.00154,0.00024,2.551,2,1,1997-11-09,1997-11-13,4.958,5.125,4.958,5.125,1
1997-11-11,5.998,205.064,"Valente et al., 2016",Fluorescence,0.0630,0.0910,0.0892,0.0810,0.0687,-0.00288,6.15361,0.00821,0.00821,0.00558,0.00310,0.00133,0.00010,2.551,2,1,1997-11-09,1997-11-13,5.875,6.042,5.875,6.042,0
1997-11-12,2.990,205.110,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0623,0.0623,0.0505,0.0573,-0.00376,6.68387,0.01016,0.01016,0.00656,0.00359,0.00152,0.00028,2.551,2,1,1997-11-10,1997-11-14,2.875,3.042,2.875,3.042,1
1997-11-12,1.961,205.040,"Valente et al., 2016",Fluorescence,0.0430,0.0444,0.0463,0.0331,0.0678,-0.00456,6.19260,0.01239,0.01239,0.00798,0.00465,0.00200,0.00059,2.551,2,1,1997-11-10,1997-11-14,1.875,2.042,1.875,2.042,1
1997-11-12,3.990,205.070,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0500,0.0774,0.0764,0.0664,0.0610,-0.00325,6.49955,0.00902,0.00902,0.00601,0.00328,0.00139,0.00014,2.551,2,1,1997-11-10,1997-11-14,3.875,4.042,3.875,4.042,1
1997-11-12,5.020,205.070,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0500,0.0776,0.0790,0.0668,0.0745,-0.00324,5.91599,0.00923,0.00923,0.00626,0.00363,0.00156,0.00026,2.551,2,1,1997-11-10,1997-11-14,4.958,5.125,4.958,5.125,0
1997-11-13,1.006,205.157,"Valente et al., 2016",Fluorescence,0.0350,0.0505,0.0517,0.0390,0.0599,-0.00425,6.55545,0.01170,0.01170,0.00728,0.00385,0.00179,0.00022,2.551,2,1,1997-11-11,1997-11-15,0.958,1.125,0.958,1.125,1
1997-11-13,0.020,205.030,MBARI: Strutton & Chavez. 2008,Fluorescence,0.0400,0.0594,0.0635,0.0475,0.0876,-0.00388,5.44456,0.01128,0.01128,0.00724,0.00410,0.00207,0.00048,2.551,2,1,1997-11-11,1997-11-15,-0.042,0.125,-0.042,0.125,1
